,Score,,,,Score,Date,,,Time,Field
A,4,RIALTO - BLUE,VS,ORANGECREST,2,"Thursday, June 19",,,5:00 PM,2
B,6,VALLEY WIDE,VS,PALM DESERT - RED,1,"Thursday, June 19",,,7:15 PM,2
C,4,TEMECULA,VS,RIALTO - BLUE,19,"Friday, June 20",,,5:00 PM,2
D,6,ORANGECREST,VS,VALLEY WIDE,3,"Friday, June 20",,,7:15 PM,2
E,12,PALM DESERT - RED,VS,TEMECULA,9,"Saturday, June 21",,,9:00 AM,2
F,19,PALM DESERT RED,VS,TEMECULA,2,"Saturday, June 21",,,1:00 PM,2
G,3,ORANGECREST,VS,VALLEY WIDE,2,"Saturday, June 21",,,3:30 PM,2
H,5,RIALTO - BLUE,VS,PALM DESERT RED,8,"Sunday, June 22",,,9:00 AM,2
,3,PALM DESERT RED,VS,ORANGECREST,12,"Sunday, June 22",,,11:30 AM,2
